1.000000000000000000e+00 2.200000000000000178e+00 5.000000000000000278e-02 2.457587208919139510e+00
2.000000000000000000e+00 4.799999999999999822e+00 5.000000000000000278e-02 4.464011727246917083e+00
3.000000000000000000e+00 6.000000000000000000e+00 2.000000000000000111e-01 6.470436245574695100e+00
4.000000000000000000e+00 8.300000000000000711e+00 5.000000000000000278e-02 8.476860763902474005e+00
5.000000000000000000e+00 1.069999999999999929e+01 2.000000000000000111e-01 1.048328528223025202e+01
6.000000000000000000e+00 1.269999999999999929e+01 2.000000000000000111e-01 1.248970980055803004e+01
7.000000000000000000e+00 1.490000000000000036e+01 5.000000000000000278e-02 1.449613431888580806e+01
8.000000000000000000e+00 1.669999999999999929e+01 5.000000000000000278e-02 1.650255883721358430e+01
9.000000000000000000e+00 1.889999999999999858e+01 2.000000000000000111e-01 1.850898335554136054e+01
1.000000000000000000e+01 2.010000000000000142e+01 5.000000000000000278e-02 2.051540787386914033e+01
1.100000000000000000e+01 2.260000000000000142e+01 2.000000000000000111e-01 2.252183239219692013e+01
1.200000000000000000e+01 2.469999999999999929e+01 2.000000000000000111e-01 2.452825691052469637e+01
1.300000000000000000e+01 2.669999999999999929e+01 5.000000000000000278e-02 2.653468142885247261e+01
1.400000000000000000e+01 2.819999999999999929e+01 5.000000000000000278e-02 2.854110594718025240e+01
1.500000000000000000e+01 3.060000000000000142e+01 2.000000000000000111e-01 3.054753046550803219e+01
1.600000000000000000e+01 3.220000000000000284e+01 5.000000000000000278e-02 3.255395498383580843e+01
1.700000000000000000e+01 3.420000000000000284e+01 2.000000000000000111e-01 3.456037950216358468e+01
1.800000000000000000e+01 3.620000000000000284e+01 2.000000000000000111e-01 3.656680402049136092e+01
1.900000000000000000e+01 3.889999999999999858e+01 5.000000000000000278e-02 3.857322853881914426e+01
2.000000000000000000e+01 4.070000000000000284e+01 5.000000000000000278e-02 4.057965305714692050e+01
